key_id,press_time,release_time
a,1788966908.5006144,1788966908.6187181
n,1788966908.5893128,1788966908.6975634
t,1788966908.6692483,1788966908.7725961
Key.space,1788966908.8045263,1788966908.9659631
t,1788966908.8917687,1788966909.0050476
o,1788966909.026635,1788966909.1296067
Key.space,1788966909.1348014,1788966909.2907505
h,1788966909.3221145,1788966909.3987443
g,1788966909.326888,1788966909.4007812
i,1788966909.3722336,1788966909.4528635
Key.backspace,1788966909.6648147,1788966909.725049
Key.backspace,1788966909.8321009,1788966909.8557105
Key.backspace,1788966909.9675136,1788966910.0551558
g,1788966911.2502582,1788966911.3365395
i,1788966911.358869,1788966911.4377623
v,1788966911.4282649,1788966911.5186844
e,1788966911.6207058,1788966911.726918
Key.space,1788966911.7087686,1788966911.8573685
t,1788966911.8331642,1788966911.9452436
h,1788966911.9113996,1788966912.0000517
e,1788966912.0443227,1788966912.1650016
Key.space,1788966912.1103466,1788966912.2256997
l,1788966912.8457692,1788966912.922339
i,1788966913.00315,1788966913.084864
s,1788966913.0605664,1788966913.1306067
t,1788966913.1891131,1788966913.2830567
e,1788966913.3894868,1788966913.4844692
n,1788966913.5110805,1788966913.587996
e,1788966913.6010396,1788966913.687521
r,1788966913.7572765,1788966913.8808463
Key.space,1788966913.8652809,1788966913.9668374
f,1788966914.2015674,1788966914.276002
Key.backspace,1788966914.7669008,1788966914.8739026
o,1788966915.3330483,1788966915.442164
b,1788966915.7198195,1788966915.7876384
j,1788966915.9154332,1788966916.00225
e,1788966915.9567544,1788966916.0459561
c,1788966916.1613963,1788966916.2453194
t,1788966916.2492747,1788966916.3274481
Key.space,1788966916.397181,1788966916.5476494
t,1788966916.5102158,1788966916.6379163
c,1788966934.2520313,1788966934.3400824
t,1788966934.5074313,1788966934.6348586
Key.space,1788966934.6415987,1788966934.7758064
t,1788966935.150892,1788966935.260476
h,1788966935.2629933,1788966935.3490937
e,1788966935.3961234,1788966935.5122035
Key.space,1788966935.478687,1788966935.5888274
f,1788966935.7718148,1788966935.894921
u,1788966935.9090533,1788966935.9355628
n,1788966936.0506876,1788966936.1269336
c,1788966936.1161253,1788966936.1945002
t,1788966936.2919605,1788966936.4068704
i,1788966936.3519893,1788966936.4328494
o,1788966936.5137632,1788966936.591206
n,1788966936.7189066,1788966936.80018
Key.space,1788966936.8374102,1788966936.9718966
t,1788966936.883186,1788966937.0138311
o,1788966937.0666459,1788966937.15507
Key.space,1788966937.1690104,1788966937.3372192
c,1788966937.389712,1788966937.4371748
Key.backspace,1788966937.633813,1788966937.6954944
Key.backspace,1788966937.7613196,1788966937.8557923
Key.backspace,1788966937.9477067,1788966938.0116112
Key.backspace,1788966938.0836608,1788966938.165961
t,1788966938.1712449,1788966938.269483
h,1788966938.3041677,1788966938.3857143
a,1788966938.3345506,1788966938.43591
t,1788966938.4525545,1788966938.5791554
Key.space,1788966938.5600235,1788966938.6590574
i,1788966938.6455324,1788966938.723691
t,1788966938.7140324,1788966938.8350332
Key.space,1788966938.8455355,1788966939.0317998
c,1788966938.9833927,1788966939.120967
a,1788966939.0812795,1788966939.2058852
l,1788966939.1847289,1788966939.2554898
l,1788966939.3206565,1788966939.3956149
Key.backspace,1788966939.57594,1788966939.6341789
